Date,Close/Last,Volume,Open,High,Low
03/30/2022,15071.50,506171,15222.00,15262.25,15012.25
03/29/2022,15237.75,547770,14981.00,15268.75,14956.50
03/28/2022,14985.25,528594,14756.00,14997.00,14658.75
03/25/2022,14755.75,545996,14765.00,14840.50,14572.50
03/24/2022,14763.75,509341,14462.75,14769.75,14433.50
03/23/2022,14447.00,543815,14654.00,14682.25,14441.00
03/22/2022,14654.00,502014,14390.00,14690.75,14293.50
03/21/2022,14370.50,580388,14404.00,14466.75,14183.75
03/18/2022,14413.50,546849,14056.75,14442.75,13966.50
03/17/2022,14107.75,525075,13991.00,14132.50,13819.00
03/16/2022,13953.00,261316,13451.75,14029.25,13420.50
03/15/2022,13451.75,275537,13082.00,13489.00,12944.00
03/14/2022,13045.50,398538,13362.00,13447.50,13015.50
03/11/2022,13292.00,435350,13577.25,13860.75,13281.75
03/10/2022,13586.00,606393,13778.00,13778.00,13396.25
03/09/2022,13734.75,645327,13192.25,13821.75,13189.75
03/08/2022,13267.00,832475,13283.00,13666.00,13103.25
03/07/2022,13320.75,706389,13763.50,13879.75,13265.00
03/04/2022,13839.75,718281,14069.25,14086.50,13733.75
03/03/2022,14030.50,592539,14196.50,14391.00,13955.00
03/02/2022,14239.25,621588,14026.25,14290.00,13911.50
03/01/2022,14005.50,639555,14219.25,14327.75,13900.00
02/28/2022,14228.00,746827,13900.25,14292.25,13683.00
02/25/2022,14180.50,776179,13909.50,14196.25,13760.25
02/24/2022,13966.50,1110728,13484.25,13983.25,13025.75
02/23/2022,13507.50,703925,13928.25,14068.75,13471.25
02/22/2022,13862.75,1105156,13680.00,14157.50,13580.25
02/18/2022,13996.00,755479,14156.25,14299.00,13906.25
02/17/2022,14164.75,623754,14592.25,14619.50,14131.50
02/16/2022,14600.00,588689,14588.00,14668.50,14381.00
02/15/2022,14609.50,555824,14257.00,14614.75,14223.25
02/14/2022,14253.00,728979,14250.00,14394.00,14031.00
02/11/2022,14240.50,826630,14698.25,14766.75,14181.00
02/10/2022,14701.00,820235,15062.25,15062.25,14622.00
02/09/2022,15038.25,524362,14746.25,15068.00,14741.00
02/08/2022,14734.50,604346,14600.00,14776.00,14467.50
02/07/2022,14559.75,557258,14682.50,14806.25,14511.50
02/04/2022,14685.50,757446,14770.00,14825.75,14362.75
02/03/2022,14492.25,718487,14852.50,14870.00,14456.25
02/02/2022,15114.50,634583,15129.00,15260.00,14825.00
02/01/2022,14994.75,588992,14868.75,15137.00,14729.25
01/31/2022,14905.00,634564,14454.00,14914.75,14353.25
01/28/2022,14433.00,866826,14167.75,14442.00,13831.00
01/27/2022,13986.75,860609,14194.00,14409.25,13844.50
01/26/2022,14158.50,892230,13945.50,14639.75,13945.50
01/25/2022,14140.75,947032,14495.00,14499.00,13890.00
01/24/2022,14501.00,1304599,14410.00,14582.00,13706.00
01/21/2022,14426.50,1029415,14722.00,14858.50,14408.50
01/20/2022,14841.00,761720,15042.25,15340.25,14646.75
01/19/2022,15033.50,770647,15238.75,15372.00,15011.25
01/18/2022,15206.00,858462,15562.00,15653.25,15170.75
01/14/2022,15595.75,788218,15505.00,15621.00,15312.50
01/13/2022,15490.25,755983,15901.00,15979.75,15458.25
01/12/2022,15887.25,667586,15826.00,16009.25,15762.50
01/11/2022,15831.00,700589,15622.25,15839.50,15475.00
01/10/2022,15608.00,880092,15590.00,15669.00,15152.50
01/07/2022,15581.00,691844,15801.75,15852.75,15510.00
01/06/2022,15759.00,796923,15763.75,15895.75,15598.50
01/05/2022,15766.50,758021,16265.00,16269.00,15752.75
01/04/2022,16275.75,662705,16497.75,16564.00,16139.50
01/03/2022,16485.50,504689,16356.00,16508.00,16292.00
12/31/2021,16320.75,356483,16431.00,16464.00,16313.75
12/30/2021,16430.25,297672,16484.50,16567.50,16411.25
12/29/2021,16490.50,351100,16513.50,16564.25,16387.50
12/28/2021,16488.00,450397,16565.75,16659.50,16452.25
12/27/2021,16560.00,343106,16304.25,16580.75,16304.25
